,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
61,10.07,3.41,2186.54,110.06,1807.16,8.29,11.78,525.31,52.02,124.04,34.8,15.0,-0.004999999999999893,0.0050000000000001155,13.764999999999873,0.09500000000000597,-1.3450000000000273,0.0,0.03000000000000025,-0.7399999999999523,0.120000000000001,0.2700000000000031,0.05000000000000071,0.0
62,10.06,3.41,2156.49,110.18,1804.49,8.32,11.84,521.44,52.29,124.01,34.9,15.0,-0.009999999999999787,0.004999999999999893,-9.11999999999989,0.19500000000000028,-0.8150000000000546,0.015000000000000568,0.040000000000000036,0.6750000000000114,-0.030000000000001137,0.10499999999999687,0.05000000000000071,0.0
63,10.05,3.42,2168.3,110.45,1805.53,8.32,11.86,526.66,51.96,124.25,34.9,15.0,0.0,0.0,5.925000000000182,0.10999999999999943,-0.25499999999999545,0.009999999999999787,-0.004999999999999893,2.9349999999999454,-0.08500000000000085,0.054999999999999716,-0.05000000000000071,0.0
64,10.06,3.41,2168.34,110.4,1803.98,8.34,11.83,527.31,52.12,124.12,34.8,15.0,0.004999999999999893,-0.004999999999999893,14.480000000000018,-0.08500000000000085,3.2000000000000455,0.0,-0.040000000000000036,-1.6099999999999568,0.09499999999999886,-0.03499999999999659,-0.05000000000000071,0.0
65,10.06,3.41,2197.26,110.28,1811.93,8.32,11.78,523.44,52.15,124.18,34.8,15.0,0.0,0.0,1.7200000000000273,0.1699999999999946,-1.580000000000041,-0.025000000000000355,-0.054999999999999716,-0.42999999999995,0.07500000000000284,0.22999999999999687,0.0,0.0
66,10.06,3.41,2171.78,110.74,1800.82,8.29,11.72,526.45,52.27,124.58,34.8,15.0,0.0,0.004999999999999893,-0.12000000000011823,0.3200000000000003,-2.1550000000000864,-0.004999999999999893,0.010000000000000675,4.354999999999961,-0.004999999999999005,0.34499999999999886,0.0,0.0
67,10.06,3.42,2197.02,110.92,1807.62,8.31,11.8,532.15,52.14,124.87,34.8,15.0,-0.004999999999999893,0.004999999999999893,-7.845000000000027,-0.02499999999999858,2.0650000000000546,0.025000000000000355,0.040000000000000036,-2.3850000000000477,0.09499999999999886,0.3049999999999997,0.0,0.0
68,10.05,3.42,2156.09,110.69,1804.95,8.34,11.8,521.68,52.46,125.19,34.8,15.0,0.009999999999999787,-0.004999999999999893,10.910000000000082,0.10000000000000142,-3.519999999999982,-0.015000000000000568,-0.03000000000000025,-3.0299999999999727,0.03999999999999915,0.2149999999999963,0.0,0.0
69,10.08,3.41,2218.84,111.12,1800.58,8.28,11.74,526.09,52.22,125.3,34.8,15.0,-0.005000000000000782,-0.004999999999999893,24.809999999999945,0.020000000000003126,-2.144999999999982,-0.025000000000000355,-0.040000000000000036,4.064999999999998,-0.21000000000000085,0.21999999999999886,0.0,0.0
70,10.04,3.41,2205.71,110.73,1800.66,8.29,11.72,529.81,52.04,125.63,34.8,15.0,0.0,0.010000000000000009,-5.8400000000001455,0.08500000000000085,-2.5799999999999272,0.010000000000000675,0.019999999999999574,1.669999999999959,0.0,0.5249999999999986,0.0,0.0
